Key,Path,AssetBundle,LevelKey,EnemyId,SummonedEnemy,Intensive,CellarSprite,Hp,Speed,SpeedRate,Critical,IsBoss,ExtraAssetBundle,BossBgm,BossRoom,BossWeapon,SubspeciesBoss,DoubleBosses,DropOffsetX,DropOffsetY,Drops,DropGroups
ex_old_transitionPort,Level/1/G/Enemy/e_old_transitionPort/ex_old_transitionPort.prefab,level/1/g,1G,e_old_transitionPort,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_2_58"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list_2.png""}",10,0,0,0,False,,,,,,"{}",0,0,"[]","[]"
ex_old_worm,Level/1/G/Enemy/e_old_worm/ex_old_worm.prefab,level/1/g,1G,e_old_worm,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""e_old_worm"",""tex"":""Assets/RGTexture/enemy/cellar/e_old_worm.png""}",50,10,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_skin_fragment_c12_s12""},""probability"":2.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
boss01,Level/2/A/Boss/boss01/boss01.prefab,boss/boss01,2A,boss01,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_99"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",600,6,0,0,True,,RGSound/bgm/bgm_2High.mp3,Level/2/A/Boss/boss01/r2_boss1.prefab,weapon_077,boss01_2,"{""boss01"":10,""boss01_2"":3,""boss02"":10,""boss03"":10,""boss04"":10,""boss15"":10,""boss16"":10,""boss20"":10,""bossnian"":6}",0,1,"[{""item"":{""item"":""material_iron""},""probability"":150.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""plant_heptacolor_seed""},""probability"":50.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_skin_fragment_boss01""},""probability"":50.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_castle""},""probability"":20.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_boss2""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_ancient_weapon_fragment""},""probability"":150.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
boss01_2,Level/2/A/Boss/boss01/boss01_2.prefab,boss/boss01,2A,boss01_2,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_100"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",800,6,0,0,True,,RGSound/bgm/bgm_2High.mp3,Level/2/A/Boss/boss01/r2_boss1.prefab,weapon_307,,"{}",0,1,"[{""item"":{""item"":""material_iron""},""probability"":200.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""plant_heptacolor_seed""},""probability"":70.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_castle""},""probability"":40.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_boss2""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_ancient_weapon_fragment""},""probability"":150.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
boss02,Level/2/A/Boss/boss02/boss02.prefab,boss/boss02,2A,boss02,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_31"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",500,5,0,0,True,,RGSound/bgm/bgm_2High.mp3,Level/2/A/Boss/boss02/r2_boss2.prefab,weapon_145,,"{""boss01"":10,""boss01_2"":3,""boss02"":10,""boss03"":10,""boss04"":10,""boss15"":10,""boss16"":10,""boss20"":10,""bossnian"":6}",0,1,"[{""item"":{""item"":""material_magic_blue""},""probability"":12.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_magic_green""},""probability"":12.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_magic_purple""},""probability"":12.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_magic_red""},""probability"":12.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_magic_black""},""probability"":12.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_magic_orange""},""probability"":12.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_skin_fragment_boss02""},""probability"":50.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_boss2""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_ancient_weapon_fragment""},""probability"":150.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
boss20,Level/2/A/Boss/boss20/boss20.prefab,boss/boss20,2A,boss20,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_102"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",700,6,0,0,True,,RGSound/bgm/bgm_2High.mp3,Level/2/A/Boss/boss20/r2_boss7.prefab,weapon_253,,"{""boss01"":10,""boss01_2"":3,""boss02"":10,""boss03"":10,""boss04"":10,""boss15"":10,""boss16"":10,""boss20"":10,""bossnian"":6}",0,1,"[{""item"":{""item"":""material_cell""},""probability"":100.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_fertilize""},""probability"":100.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_boss2""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_ancient_weapon_fragment""},""probability"":150.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_dark_knight,Level/2/A/Enemy/e_dark_knight/e_dark_knight.prefab,level/2/a,2A,e_dark_knight,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_2_51"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list_2.png""}",48,3,0,0,False,,,,,,"{}",0,0,"[]","[]"
e_giant,Level/2/A/Enemy/e_giant/e_giant.prefab,level/2/a,2A,e_giant,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_27"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",60,3,0,0,False,,,,,,"{}",0,0,"[]","[]"
e_knight01,Level/2/A/Enemy/e_knight01/e_knight01.prefab,level/2/a,2A,e_knight01,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_1"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",12,4,0,0,False,,,,,,"{}",0,0,"[]","[]"
e_knight02,Level/2/A/Enemy/e_knight02/e_knight02.prefab,level/2/a,2A,e_knight02,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_0"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",12,5,0,0,False,,,,,,"{}",0,0,"[]","[]"
e_knight03,Level/2/A/Enemy/e_knight03/e_knight03.prefab,level/2/a,2A,e_knight03,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_2"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",12,4,0,0,False,,,,,,"{}",0,0,"[]","[]"
e_knight04,Level/2/A/Enemy/e_knight04/e_knight04.prefab,level/2/a,2A,e_knight04,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_4"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",24,4,0,0,False,,,,,,"{}",0,0,"[]","[]"
e_knight05,Level/2/A/Enemy/e_knight05/e_knight05.prefab,level/2/a,2A,e_knight05,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_5"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",24,4,0,0,False,,,,,,"{}",0,0,"[]","[]"
e_knight06,Level/2/A/Enemy/e_knight06/e_knight06.prefab,level/2/a,2A,e_knight06,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_3"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",24,5,0,0,False,,,,,,"{}",0,0,"[]","[]"
e_slime01,Level/2/A/Enemy/e_slime01/e_slime01.prefab,level/2/a,2A,e_slime01,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_8"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",12,3,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_cell""},""probability"":3.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_slime01_temp,Level/2/A/Boss/boss20/e_slime01_temp.prefab,boss/boss20,2A,e_slime01,True,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_8"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",12,3,0,0,False,,,,,,"{}",0,0.5,"[]","[]"
e_wizard01,Level/2/A/Enemy/e_wizard01/e_wizard01.prefab,level/2/a,2A,e_wizard01,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_6"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",20,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_skin_fragment_c16_s6""},""probability"":1.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_dark_knight,Level/2/A/Enemy/e_dark_knight/ex_dark_knight.prefab,level/2/a,2A,e_dark_knight,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_2_51"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list_2.png""}",96,3,0,0,False,,,,,,"{}",0,0,"[]","[]"
ex_giant,Level/2/A/Enemy/e_giant/ex_giant.prefab,level/2/a,2A,e_giant,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_27"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",150,5,0,0,False,,,,,,"{}",0,1,"[{""item"":{""item"":""material_gear""},""probability"":5.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_knight01,Level/2/A/Enemy/e_knight01/ex_knight01.prefab,level/2/a,2A,e_knight01,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_1"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",32,5,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_gear""},""probability"":5.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_knight02,Level/2/A/Enemy/e_knight02/ex_knight02.prefab,level/2/a,2A,e_knight02,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_0"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",40,6,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_iron""},""probability"":5.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_knight03,Level/2/A/Enemy/e_knight03/ex_knight03.prefab,level/2/a,2A,e_knight03,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_2"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",32,5,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_gear""},""probability"":5.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_knight04,Level/2/A/Enemy/e_knight04/ex_knight04.prefab,level/2/a,2A,e_knight04,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_4"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",48,5,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_gear""},""probability"":5.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_knight05,Level/2/A/Enemy/e_knight05/ex_knight05.prefab,level/2/a,2A,e_knight05,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_5"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",48,5,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_gear""},""probability"":5.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_knight06,Level/2/A/Enemy/e_knight06/ex_knight06.prefab,level/2/a,2A,e_knight06,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_3"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",70,6,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_iron""},""probability"":5.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_slime01,Level/2/A/Enemy/e_slime01/ex_slime01.prefab,level/2/a,2A,e_slime01,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_8"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",50,6,0,0,False,,,,,,"{}",0,1,"[{""item"":{""item"":""material_cell""},""probability"":5.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_wizard01,Level/2/A/Enemy/e_wizard01/ex_wizard01.prefab,level/2/a,2A,e_wizard01,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_6"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",45,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_wood""},""probability"":5.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_skin_fragment_c16_s6""},""probability"":2.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
boss03,Level/2/B/Boss/boss03/boss03.prefab,boss/boss03,2B,boss03,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_101"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",600,6,0,0,True,,RGSound/bgm/bgm_2High.mp3,Level/2/B/Boss/boss03/r2_boss3.prefab,weapon_116,,"{""boss01"":10,""boss01_2"":3,""boss02"":10,""boss03"":10,""boss04"":10,""boss15"":10,""boss16"":10,""boss20"":10,""bossnian"":6}",0,1,"[{""item"":{""item"":""material_iron""},""probability"":150.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_graveyard""},""probability"":30.0000019,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_boss2""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_ancient_weapon_fragment""},""probability"":150.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
boss04,Level/2/B/Boss/boss04/boss04.prefab,boss/boss04,2B,boss04,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_33"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",600,5,0,0,True,,RGSound/bgm/bgm_2High.mp3,Level/2/B/Boss/boss04/r2_boss4.prefab,weapon_141,,"{""boss01"":10,""boss01_2"":3,""boss02"":10,""boss03"":10,""boss04"":10,""boss15"":10,""boss16"":10,""boss20"":10,""bossnian"":6}",0,1,"[{""item"":{""item"":""material_battery""},""probability"":150.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_iron""},""probability"":25.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_gear""},""probability"":50.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_fragment_c6h8o6""},""probability"":50.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""blueprint_m_mech_3""},""probability"":10.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_boss2""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_ancient_weapon_fragment""},""probability"":150.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_hammer,Level/2/B/Enemy/e_hammer/e_hammer.prefab,level/2/b,2B,e_hammer,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_28"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",50,6,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_graveyard""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_shaman,Level/2/B/Enemy/e_shaman/e_shaman.prefab,level/2/b,2B,e_shaman,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_17"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",20,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_graveyard""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_skin_fragment_c16_s6""},""probability"":1.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_skeleton01,Level/2/B/Enemy/e_skeleton01/e_skeleton01.prefab,level/2/b,2B,e_skeleton01,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_10"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",10,6,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_graveyard""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_skeleton02,Level/2/B/Enemy/e_skeleton02/e_skeleton02.prefab,level/2/b,2B,e_skeleton02,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_9"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",10,6,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_graveyard""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_skeleton02_temp,Level/2/B/Boss/boss03/e_skeleton02_temp/e_skeleton02_temp.prefab,boss/boss03,2B,e_skeleton02_temp,True,False,"{}",10,6,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_graveyard""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_skeleton03,Level/2/B/Enemy/e_skeleton03/e_skeleton03.prefab,level/2/b,2B,e_skeleton03,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_11"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",10,6,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_graveyard""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_skeleton04,Level/2/B/Enemy/e_skeleton04/e_skeleton04.prefab,level/2/b,2B,e_skeleton04,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_12"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",20,6,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_graveyard""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_skeleton05,Level/2/B/Enemy/e_skeleton05/e_skeleton05.prefab,level/2/b,2B,e_skeleton05,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_13"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",20,6,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_graveyard""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_skeleton06,Level/2/B/Enemy/e_skeleton06/e_skeleton06.prefab,level/2/b,2B,e_skeleton06,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_14"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",20,6,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_graveyard""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_skeleton_dog,Level/2/B/Enemy/e_skeleton_dog/e_skeleton_dog.prefab,level/2/b,2B,e_skeleton_dog,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_2_54"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list_2.png""}",10,8,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_graveyard""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_spider01,Level/2/B/Enemy/e_spider01/e_spider01.prefab,level/2/b,2B,e_spider01,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_15"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",12,6,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_graveyard""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_spider02,Level/2/B/Enemy/e_spider02/e_spider02.prefab,level/2/b,2B,e_spider02,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_16"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",12,6,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_graveyard""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_hammer,Level/2/B/Enemy/e_hammer/ex_hammer.prefab,level/2/b,2B,e_hammer,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_28"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",140,6,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_iron""},""probability"":5.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_graveyard""},""probability"":0.1,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_shaman,Level/2/B/Enemy/e_shaman/ex_shaman.prefab,level/2/b,2B,e_shaman,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_17"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",40,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_wood""},""probability"":5.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_graveyard""},""probability"":0.1,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_skin_fragment_c16_s6""},""probability"":2.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_skeleton01,Level/2/B/Enemy/e_skeleton01/ex_skeleton01.prefab,level/2/b,2B,e_skeleton01,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_10"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",30,6,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_gear""},""probability"":5.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_graveyard""},""probability"":0.1,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_skeleton02,Level/2/B/Enemy/e_skeleton02/ex_skeleton02.prefab,level/2/b,2B,e_skeleton02,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_9"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",38,6,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_iron""},""probability"":5.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_graveyard""},""probability"":0.1,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_skeleton03,Level/2/B/Enemy/e_skeleton03/ex_skeleton03.prefab,level/2/b,2B,e_skeleton03,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_11"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",26,6,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_wood""},""probability"":5.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_graveyard""},""probability"":0.1,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
