Key,Type,SubType,DataStr
blueprint_weapon_223,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_223"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":666}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_223"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons3_79"",""tex"":""Assets/RGTexture/weapon/weapons3.png""},""IconPosition"":{""x"":0.03,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_weapon_188,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_188"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1000}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_188"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons2_113"",""tex"":""Assets/RGTexture/weapon/weapons2.png""},""IconPosition"":{""x"":0.0,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_weapon_213,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_213"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1000}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_213"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons3_26"",""tex"":""Assets/RGTexture/weapon/weapons3.png""},""IconPosition"":{""x"":0.0,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_weapon_184,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_184"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_184"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons2_122"",""tex"":""Assets/RGTexture/weapon/weapons2.png""},""IconPosition"":{""x"":-0.25,""y"":-0.11,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_weapon_224,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_224"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_224"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons3_85"",""tex"":""Assets/RGTexture/weapon/weapons3.png""},""IconPosition"":{""x"":0.03,""y"":0.0,""z"":0.0},""IconScale"":0.75,""IconRotation"":0.0}"
blueprint_weapon_321,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_321"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_321"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons4_108"",""tex"":""Assets/RGTexture/weapon/weapons4.png""},""IconPosition"":{""x"":-0.454,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_weapon_340,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_340"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_340"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons5_53"",""tex"":""Assets/RGTexture/weapon/weapons5.png""},""IconPosition"":{""x"":0.0,""y"":-0.47,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_weapon_341,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_341"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_341"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons5_58"",""tex"":""Assets/RGTexture/weapon/weapons5.png""},""IconPosition"":{""x"":-0.31,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_weapon_342,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_342"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_342"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons5_61"",""tex"":""Assets/RGTexture/weapon/weapons5.png""},""IconPosition"":{""x"":-0.588,""y"":0.0,""z"":0.0},""IconScale"":0.7,""IconRotation"":0.0}"
blueprint_weapon_356,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_356"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_356"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""3"",""tex"":""Assets/RGTexture/weapon/3.png""},""IconPosition"":{""x"":-0.33,""y"":-0.136,""z"":0.0},""IconScale"":0.8,""IconRotation"":0.0}"
blueprint_weapon_294,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_294"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":2000}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_294"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons4_68"",""tex"":""Assets/RGTexture/weapon/weapons4.png""},""IconPosition"":{""x"":-0.43,""y"":-0.05,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_weapon_217,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_217"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":8888}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_217"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons3_15"",""tex"":""Assets/RGTexture/weapon/weapons3.png""},""IconPosition"":{""x"":-0.25,""y"":-0.2,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_weapon_240,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_240"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":6666}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_240"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons3_109"",""tex"":""Assets/RGTexture/weapon/weapons3.png""},""IconPosition"":{""x"":-0.2,""y"":0.0,""z"":0.0},""IconScale"":0.7,""IconRotation"":0.0}"
blueprint_weapon_252,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_252"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":5000}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_252"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/pet.spriteatlasv2"",""sprite"":""mech_21"",""tex"":""Assets/RGTexture/pet/mech.png""},""IconPosition"":{""x"":-0.8,""y"":0.0,""z"":0.0},""IconScale"":0.7,""IconRotation"":270.0}"
blueprint_weapon_344,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_344"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_344"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons5_108"",""tex"":""Assets/RGTexture/weapon/weapons5.png""},""IconPosition"":{""x"":0.01,""y"":0.0,""z"":0.0},""IconScale"":0.8,""IconRotation"":0.0}"
blueprint_weapon_bossrushfinal,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_bossrushfinal"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_bossrushfinal"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/enemy/boss_rush.spriteatlasv2"",""sprite"":""bossrush_final_normal_player_weapon_0"",""tex"":""Assets/RGTexture/enemy/bossrush_final/normal/bossrush_final_normal_player_weapon.png""},""IconPosition"":{""x"":-0.36,""y"":0.0,""z"":0.0},""IconScale"":0.7,""IconRotation"":0.0}"
blueprint_weapon_bossrushfinalA,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_bossrushfinalA"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_bossrushfinalA"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""player_weapons_0"",""tex"":""Assets/RGTexture/weapon/player_weapons.png""},""IconPosition"":{""x"":-0.588,""y"":0.0,""z"":0.0},""IconScale"":0.6,""IconRotation"":0.0}"
blueprint_weapon_bossrushfinalB,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_bossrushfinalB"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_bossrushfinalB"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""player_weapons_1"",""tex"":""Assets/RGTexture/weapon/player_weapons.png""},""IconPosition"":{""x"":-0.588,""y"":0.0,""z"":0.0},""IconScale"":0.6,""IconRotation"":0.0}"
blueprint_weapon_fish_rod_a,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_fish_rod_a"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":10}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_fish_rod_a"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons5_62"",""tex"":""Assets/RGTexture/weapon/weapons5.png""},""IconPosition"":{""x"":-0.4,""y"":-0.33,""z"":0.0},""IconScale"":1.0,""IconRotation"":359.9}"
blueprint_weapon_fish_rod_b,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_fish_rod_b"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":50}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_fish_rod_b"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons5_63"",""tex"":""Assets/RGTexture/weapon/weapons5.png""},""IconPosition"":{""x"":-0.44,""y"":-0.241,""z"":0.0},""IconScale"":0.91,""IconRotation"":359.9}"
blueprint_weapon_fish_rod_c,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_fish_rod_c"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":200}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_fish_rod_c"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons5_64"",""tex"":""Assets/RGTexture/weapon/weapons5.png""},""IconPosition"":{""x"":-0.44,""y"":-0.3,""z"":0.0},""IconScale"":0.91,""IconRotation"":359.9}"
blueprint_weapon_fish_rod_d,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_fish_rod_d"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1000}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_fish_rod_d"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapons5_66"",""tex"":""Assets/RGTexture/weapon/weapons5.png""},""IconPosition"":{""x"":-0.391,""y"":-0.3,""z"":0.0},""IconScale"":0.91,""IconRotation"":349.06}"
blueprint_weapon_cg_0,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_cg_0"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1000}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_cg_0"",""Localization"":"""",""ItemValue"":10,""ItemLevel"":1,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapon_cg_0"",""tex"":""Assets/RGTexture/weapon/weapon_cg_0.png""},""IconPosition"":{""x"":-0.32,""y"":-0.15,""z"":0.0},""IconScale"":0.65,""IconRotation"":0.0}"
blueprint_weapon_370,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_370"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_370"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapon_370_ui"",""tex"":""Assets/RGTexture/weapon/weapon_370_ui.PNG""},""IconPosition"":{""x"":0.0,""y"":0.0,""z"":0.0},""IconScale"":0.56,""IconRotation"":0.0}"
blueprint_weapon_cg_1,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_cg_1"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1000}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_cg_1"",""Localization"":"""",""ItemValue"":20,""ItemLevel"":2,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapon_cg_1"",""tex"":""Assets/RGTexture/weapon/weapon_cg_1.png""},""IconPosition"":{""x"":-0.19,""y"":-0.1,""z"":0.0},""IconScale"":0.8,""IconRotation"":0.0}"
blueprint_weapon_cg_2,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_cg_2"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_cg_2"",""Localization"":"""",""ItemValue"":40,""ItemLevel"":4,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapon_cg_2"",""tex"":""Assets/RGTexture/weapon/weapon_cg_2.png""},""IconPosition"":{""x"":-0.23,""y"":-0.1,""z"":0.0},""IconScale"":0.65,""IconRotation"":0.0}"
blueprint_weapon_cg_3,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_cg_3"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1200}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_cg_3"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapon_cg_3"",""tex"":""Assets/RGTexture/weapon/weapon_cg_3.png""},""IconPosition"":{""x"":-0.51,""y"":0.0,""z"":0.0},""IconScale"":0.58,""IconRotation"":0.0}"
blueprint_weapon_380,BluePrint,Blueprint,"{""BlueprintType"":7,""ItemName"":""weapon_380"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_weapon_380"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/weapon.spriteatlasv2"",""sprite"":""weapon_380"",""tex"":""Assets/RGTexture/weapon/weapon_380.png""},""IconPosition"":{""x"":0.0,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
